participant_id,scenario,acceptance,acceptance_score
PT001,入院導入,あまり受けたくない,2
PT001,外来導入_週2回,迷う,3
PT001,外来導入_週1回,受けたい,5
PT001,外来導入_週1回_訪問看護,受けたい,5
PT002,入院導入,受けたくない,1
PT002,外来導入_週2回,迷う,3
PT002,外来導入_週1回,前向きに考えたい,4
PT002,外来導入_週1回_訪問看護,前向きに考えたい,4
PT003,入院導入,受けたくない,1
PT003,外来導入_週2回,前向きに考えたい,4
PT003,外来導入_週1回,迷う,3
PT003,外来導入_週1回_訪問看護,迷う,3
PT004,入院導入,受けたくない,1
PT004,外来導入_週2回,あまり受けたくない,2
PT004,外来導入_週1回,あまり受けたくない,2
PT004,外来導入_週1回_訪問看護,前向きに考えたい,4
PT005,入院導入,あまり受けたくない,2
PT005,外来導入_週2回,迷う,3
PT005,外来導入_週1回,前向きに考えたい,4
PT005,外来導入_週1回_訪問看護,前向きに考えたい,4
PT006,入院導入,迷う,3
PT006,外来導入_週2回,前向きに考えたい,4
PT006,外来導入_週1回,前向きに考えたい,4
PT006,外来導入_週1回_訪問看護,前向きに考えたい,4
PT007,入院導入,あまり受けたくない,2
PT007,外来導入_週2回,迷う,3
PT007,外来導入_週1回,前向きに考えたい,4
PT007,外来導入_週1回_訪問看護,受けたい,5
PT008,入院導入,あまり受けたくない,2
PT008,外来導入_週2回,前向きに考えたい,4
PT008,外来導入_週1回,受けたい,5
PT008,外来導入_週1回_訪問看護,前向きに考えたい,4
PT009,入院導入,受けたくない,1
PT009,外来導入_週2回,前向きに考えたい,4
PT009,外来導入_週1回,前向きに考えたい,4
PT009,外来導入_週1回_訪問看護,受けたい,5
PT010,入院導入,受けたくない,1
PT010,外来導入_週2回,迷う,3
PT010,外来導入_週1回,受けたい,5
PT010,外来導入_週1回_訪問看護,受けたい,5
PT011,入院導入,受けたくない,1
PT011,外来導入_週2回,迷う,3
PT011,外来導入_週1回,前向きに考えたい,4
PT011,外来導入_週1回_訪問看護,前向きに考えたい,4
PT012,入院導入,受けたくない,1
PT012,外来導入_週2回,迷う,3
PT012,外来導入_週1回,前向きに考えたい,4
PT012,外来導入_週1回_訪問看護,前向きに考えたい,4
PT013,入院導入,あまり受けたくない,2
PT013,外来導入_週2回,迷う,3
PT013,外来導入_週1回,あまり受けたくない,2
PT013,外来導入_週1回_訪問看護,前向きに考えたい,4
PT014,入院導入,あまり受けたくない,2
PT014,外来導入_週2回,前向きに考えたい,4
PT014,外来導入_週1回,前向きに考えたい,4
PT014,外来導入_週1回_訪問看護,受けたい,5
PT015,入院導入,受けたくない,1
PT015,外来導入_週2回,あまり受けたくない,2
PT015,外来導入_週1回,迷う,3
PT015,外来導入_週1回_訪問看護,前向きに考えたい,4
PT016,入院導入,迷う,3
PT016,外来導入_週2回,前向きに考えたい,4
PT016,外来導入_週1回,前向きに考えたい,4
PT016,外来導入_週1回_訪問看護,受けたい,5
PT017,入院導入,受けたくない,1
PT017,外来導入_週2回,迷う,3
PT017,外来導入_週1回,前向きに考えたい,4
PT017,外来導入_週1回_訪問看護,前向きに考えたい,4
PT018,入院導入,受けたくない,1
PT018,外来導入_週2回,あまり受けたくない,2
PT018,外来導入_週1回,あまり受けたくない,2
PT018,外来導入_週1回_訪問看護,迷う,3
PT019,入院導入,あまり受けたくない,2
PT019,外来導入_週2回,前向きに考えたい,4
PT019,外来導入_週1回,前向きに考えたい,4
PT019,外来導入_週1回_訪問看護,前向きに考えたい,4
PT020,入院導入,迷う,3
PT020,外来導入_週2回,受けたい,5
PT020,外来導入_週1回,受けたい,5
PT020,外来導入_週1回_訪問看護,受けたい,5
PT021,入院導入,前向きに考えたい,4
PT021,外来導入_週2回,受けたい,5
PT021,外来導入_週1回,前向きに考えたい,4
PT021,外来導入_週1回_訪問看護,受けたい,5
